________________________________________________________________________________
Marvellous Infosystems Process Logger : Sun Jun 23 13:32:13 2024
________________________________________________________________________________

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.05078125}
{'name': '', 'username': None, 'pid': 76, 'vms': 0.18359375}
{'name': 'Registry', 'username': None, 'pid': 112, 'vms': 11.93359375}
{'name': 'smss.exe', 'username': None, 'pid': 580, 'vms': 1.09375}
{'name': 'wininit.exe', 'username': None, 'pid': 676, 'vms': 1.46484375}
{'name': 'csrss.exe', 'username': None, 'pid': 692, 'vms': 2.97265625}
{'name': 'svchost.exe', 'username': None, 'pid': 720, 'vms': 1.86328125}
{'name': 'UserOOBEBroker.exe', 'username': 'SHITAL\\telis', 'pid': 876, 'vms': 1.80078125}
{'name': 'services.exe', 'username': None, 'pid': 916, 'vms': 5.85546875}
{'name': 'winlogon.exe', 'username': None, 'pid': 952, 'vms': 2.640625}
{'name': 'csrss.exe', 'username': None, 'pid': 980, 'vms': 2.328125}
{'name': 'LsaIso.exe', 'username': None, 'pid': 1044, 'vms': 1.28125}
{'name': 'MMSSHOST.exe', 'username': None, 'pid': 1052, 'vms': 25.7890625}
{'name': 'lsass.exe', 'username': None, 'pid': 1068, 'vms': 12.7265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1084, 'vms': 1.9375}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 1128, 'vms': 11.17578125}
{'name': 'mfevtps.exe', 'username': None, 'pid': 1180, 'vms': 6.4140625}
{'name': 'RuntimeBroker.exe', 'username': 'SHITAL\\telis', 'pid': 1188, 'vms': 2.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1196, 'vms': 11.9921875}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1212, 'vms': 1.6640625}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1216, 'vms': 1.90625}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1280, 'vms': 8.44140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1344, 'vms': 35.62890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1352, 'vms': 9.48046875}
{'name': 'smartscreen.exe', 'username': 'SHITAL\\telis', 'pid': 1388, 'vms': 2.484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1416, 'vms': 2.90234375}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 1472, 'vms': 59.80078125}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1480, 'vms': 5.23046875}
{'name': 'chrome.exe', 'username': 'SHITAL\\telis', 'pid': 1520, 'vms': 11.32421875}
{'name': 'svchost.exe', 'username': None, 'pid': 1548, 'vms': 1.1171875}
{'name': 'svchost.exe', 'username': None, 'pid': 1576, 'vms': 5.875}
{'name': 'svchost.exe', 'username': None, 'pid': 1636, 'vms': 2.64453125}
{'name': 'svchost.exe', 'username': None, 'pid': 1644, 'vms': 6.53125}
{'name': 'svchost.exe', 'username': None, 'pid': 1652, 'vms': 2.859375}
{'name': 'svchost.exe', 'username': None, 'pid': 1664, 'vms': 1.921875}
{'name': 'svchost.exe', 'username': None, 'pid': 1676, 'vms': 3.1484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1684, 'vms': 17.09375}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 1772, 'vms': 1.31640625}
{'name': 'dwm.exe', 'username': None, 'pid': 1844, 'vms': 325.38671875}
{'name': 'svchost.exe', 'username': None, 'pid': 1880, 'vms': 2.72265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1944, 'vms': 2.4609375}
{'name': 'svchost.exe', 'username': None, 'pid': 2064, 'vms': 3.515625}
{'name': 'SysInfoCap.exe', 'username': None, 'pid': 2076, 'vms': 11.2109375}
{'name': 'svchost.exe', 'username': 'SHITAL\\telis', 'pid': 2092, 'vms': 2.80078125}
{'name': 'svchost.exe', 'username': None, 'pid': 2200, 'vms': 1.9140625}
{'name': 'svchost.exe', 'username': None, 'pid': 2224, 'vms': 2.4921875}
{'name': 'svchost.exe', 'username': None, 'pid': 2232, 'vms': 6.2265625}
{'name': 'svchost.exe', 'username': None, 'pid': 2332, 'vms': 3.59375}
{'name': 'igfxCUIServiceN.exe', 'username': None, 'pid': 2340, 'vms': 2.21875}
{'name': 'svchost.exe', 'username': None, 'pid': 2356, 'vms': 2.234375}
{'name': 'svchost.exe', 'username': None, 'pid': 2404, 'vms': 1.24609375}
{'name': 'TouchpointAnalyticsClientService.exe', 'username': None, 'pid': 2480, 'vms': 80.703125}
{'name': 'svchost.exe', 'username': None, 'pid': 2572, 'vms': 3.21484375}
